country,year,iso_code,population,gdp,co2,co2_per_capita,gdp_per_capita,pm25,life_exp
Afghanistan,2019,AFG,37856125.0,73085701943.0,10.4,0.275,1930.6176198171365,62.48616,62.9411
Albania,2019,ALB,2885011.0,33289747424.0,4.941,1.712,11538.86325702051,16.27997,79.4669
Algeria,2019,DZA,43294551.0,589905104177.0,182.425,4.214,13625.38912060781,22.68313,75.6818
Angola,2019,AGO,32375633.0,161408924528.0,22.21,0.686,4985.506369188211,27.16477,63.0511
Argentina,2019,ARG,44973469.0,817053926667.0,180.428,4.012,18167.465059611033,12.04087,76.8475
Armenia,2019,ARM,2903975.0,35949092334.0,6.284,2.164,12379.2705977152,34.12674,75.1931
Australia,2019,AUS,25482714.0,1255505542015.0,414.925,16.283,49268.90997619013,8.93323,83.2412
Austria,2019,AUT,8880876.0,388344674039.0,67.951,7.651,43728.194610419065,11.50796,81.9072
Azerbaijan,2019,AZE,10110483.0,165653307401.0,37.753,3.734,16384.311946422342,24.64286,73.29
Bahrain,2019,BHR,1485675.0,57613480945.0,37.616,25.319,38779.32989718478,51.81722,80.4706
Bangladesh,2019,BGD,164913060.0,717214595514.0,94.808,0.575,4349.0466765579395,45.98906,72.6254
Barbados,2019,BRB,281216.0,3535586950.0,1.392,4.95,12572.495697257624,9.78987,76.4951
Belarus,2019,BLR,9435415.0,181643469714.0,62.171,6.589,19251.24329072966,15.48201,74.2555
Belgium,2019,BEL,11490623.0,472897988852.0,99.799,8.685,41155.121776425876,11.25612,81.8353
Benin,2019,BEN,12726760.0,28155410176.0,5.273,0.414,2212.2999236254946,31.51453,59.8875
Bolivia,2019,BOL,11671386.0,78217588630.0,22.609,1.937,6701.653825004159,25.23416,67.8198
Bosnia and Herzegovina,2019,BIH,3345532.0,43497123759.0,20.81,6.22,13001.556631052998,26.19402,77.3939
Botswana,2019,BWA,2332082.0,36166405883.0,7.486,3.21,15508.20506440168,12.8184,67.1668
Brazil,2019,BRA,207455459.0,3050327159562.0,476.724,2.298,14703.528045323696,10.94008,75.8093
Bulgaria,2019,BGR,6975466.0,129520075495.0,42.195,6.049,18567.94592576324,17.29031,75.0874
Burkina Faso,2019,BFA,20961956.0,33422048798.0,5.618,0.268,1594.4146051065081,40.74491,60.1842
Burundi,2019,BDI,12255339.0,8573379471.0,0.685,0.056,699.5628167446041,27.99587,62.1801
Cambodia,2019,KHM,16481305.0,62129452776.0,18.626,1.13,3769.69255626299,17.80251,70.1267
